BLTH;NAMA GARDU;prabayar;;;paska;;;total;;;kapasitas;tanggal pengukuran;beban;% pembebanan;Kategori HI
;;daya;transaksi;kwh;daya;plg;kwh;daya tersambung total (kVa);Jumlah Pelanggan tersambung total;kWh Jual;;;;;
;;;;;;;;;;;;;;;
Jan-23;BB661;0;0;0;82500;1;8833;;1;8833;160;31/1/2023;40,538;25%;Baik
Jan-23;BB682;248500;23;10362,6;114600;17;16860;;40;27222,6;200;6/1/2023;10,335;5%;Baik
Jan-23;BB683;47300;14;2601,9;9000;2;2538;;16;5139,9;160;6/1/2023;37,95;24%;Baik
Jan-23;BB686;57200;8;2573,6;125200;14;13993;;22;16566,6;250;3/1/2023;125,429;50%;Baik
Jan-23;BB687;52800;6;3017,4;101900;30;31560;;36;34577,4;100;3/1/2023;62,853;63%;Cukup
Jan-23;BB695;0;0;0;197000;1;33927;;1;33927;200;27/1/2023;48,311;24%;Baik
Jan-23;BB696;0;0;0;53000;1;2120;;1;2120;50;27/1/2023;40,963;82%;Kurang
Jan-23;BB701;122200;52;8445,8;71300;57;22574;;109;31019,8;200;7/1/2023;69,383;35%;Baik
Jan-23;BB703;0;0;0;83000;2;8891;;2;8891;100;3/1/2023;10,563;11%;Baik
Jan-23;BB712;366400;270;16970,9;275350;70;41321;;340;58291,9;160;1/1/2023;124,118;78%;Cukup
Jan-23;BB730;0;0;0;33000;1;1320;;1;1320;160;31/1/2023;54,51;34%;Baik
Jan-23;BB767;2600;2;256,4;76700;5;5900;;7;6156,4;50;3/1/2023;4,458;9%;Baik
Jan-23;BB780;0;0;0;66000;1;5337;;1;5337;100;26/1/2023;28,454;28%;Baik
Jan-23;BB791;122700;23;2794,2;171200;52;31130;;75;33924,2;160;5/1/2023;72,755;45%;Baik
Jan-23;BB804;0;0;0;105000;1;4960;;1;4960;160;26/1/2023;48,977;31%;Baik
Jan-23;BB821;0;0;0;82500;1;3300;;1;3300;100;10/1/2023;69,993;70%;Cukup
Jan-23;BB849;0;0;0;197000;1;39004;;1;39004;200;26/1/2023;33,87;17%;Baik
Jan-23;BB852;57900;8;5423;190400;40;67179;;48;72602;200;12/1/2023;100,423;50%;Baik
Jan-23;BB858;0;0;0;53000;1;3135;;1;3135;100;31/1/2023;19,78;20%;Baik
Jan-23;BB874;0;0;0;33000;1;2238;;1;2238;100;31/1/2023;20,24;20%;Baik
Jan-23;BB884;118400;43;10625,3;16700;8;3292;;51;13917,3;100;7/1/2023;31,05;31%;Baik
Jan-23;BB907;117200;17;5693,3;87900;19;27737;;36;33430,3;250;1/1/2023;36,427;15%;Baik
Jan-23;BB920;0;0;0;197000;1;64339;;1;64339;200;31/1/2023;48,877;24%;Baik
Jan-23;BB927;31900;4;4594,9;216500;18;22122;;22;26716,9;100;31/1/2023;37,49;37%;Baik
Jan-23;BB934;373600;100;23155,9;65300;26;14445;;126;37600,9;160;10/1/2023;37,49;23%;Baik
Jan-23;BB940;0;0;0;147000;1;17171;;1;17171;160;27/1/2023;14,995;9%;Baik
Jan-23;BB950;0;0;0;131000;1;19850;;1;19850;160;31/1/2023;40,261;25%;Baik
Jan-23;BB953;0;0;0;33000;1;1320;;1;1320;100;31/1/2023;44,358;44%;Baik
Jan-23;BB965;0;0;0;187000;2;12976;;2;12976;160;4/1/2023;8,085;5%;Baik
Jan-23;BB969;19300;10;1495,4;185800;18;33128;;28;34623,4;100;26/1/2023;61,317;61%;Cukup
Jan-23;BB974;0;0;0;105000;1;6755;;1;6755;100;26/1/2023;41,175;41%;Baik
Jan-23;BB982;0;0;0;82500;1;21640;;1;21640;160;27/1/2023;26,522;17%;Baik
Jan-23;BB984;0;0;0;41500;1;2158;;1;2158;100;30/1/2023;19,039;19%;Baik
Jan-23;BB998;0;0;0;66000;1;2640;;1;2640;100;27/1/2023;41,404;41%;Baik
Jan-23;BC001;285700;161;12430,1;152200;115;48123;;276;60553,1;160;24/1/2023;53,182;33%;Baik
Jan-23;BC002;337750;404;19729,7;28100;243;38653;;647;58382,7;160;25/1/2023;83,178;52%;Baik
Jan-23;BC023;341250;244;17603,2;129300;157;64287;;401;81890,2;250;24/1/2023;86,412;35%;Baik
Jan-23;BC024;99900;65;4951,3;160000;98;39260;;163;44211,3;160;25/1/2023;66,181;41%;Baik
Jan-23;BC026;115900;78;5472,5;59100;93;22469;;171;27941,5;160;6/1/2023;74,81;47%;Baik
Jan-23;BC028;0;0;0;197000;2;41600;;2;41600;160;25/1/2023;82,656;52%;Baik
Jan-23;BC031;36000;9;1378,7;40800;26;18950;;35;20328,7;200;6/1/2023;17,227;9%;Baik
Jan-23;BC032;292100;260;11080,1;86600;80;31998;;340;43078,1;150;26/1/2023;70,503;47%;Baik
Jan-23;BC037;75700;49;1950;84900;45;14756;;94;16706;160;24/1/2023;22;14%;Baik
Jan-23;BC040;0;0;0;105000;1;7731;;1;7731;100;26/1/2023;26,514;27%;Baik
Jan-23;BC045;458800;419;27582,2;221900;39;31436;;458;59018,2;200;27/1/2023;71,422;36%;Baik
Jan-23;BC067;363400;399;18964;44550;127;26766;;526;45730;160;6/1/2023;76,167;48%;Baik
Jan-23;BC069;13400;12;873;114900;17;15509;;29;16382;160;24/1/2023;45,173;28%;Baik
Jan-23;BC077;0;0;0;164000;1;6560;;1;6560;200;24/1/2023;33,948;17%;Baik
Jan-23;BC091;132900;24;5932,9;354300;25;31590;;49;37522,9;160;27/1/2023;50,554;32%;Baik
Jan-23;BC096;50400;27;2321,8;137300;54;19232;;81;21553,8;100;26/1/2023;20,63;21%;Baik
Jan-23;BC105;54700;29;2912;149000;29;18698;;58;21610;100;24/1/2023;51,225;51%;Baik
Jan-23;BC126;393800;279;24250,5;232200;111;58273;;390;82523,5;250;24/1/2023;105,872;42%;Baik
Jan-23;BC129;110600;40;5014,1;198300;75;53561;;115;58575,1;200;6/1/2023;102,896;51%;Baik
Jan-23;BC145;276000;138;14435,4;226100;71;45247;;209;59682,4;160;24/1/2023;78,169;49%;Baik
Jan-23;BC168;56200;54;2619,7;15050;156;32195;;210;34814,7;160;25/1/2023;59,152;37%;Baik
Jan-23;BC170;24800;18;533,1;29600;22;5189;;40;5722,1;160;25/1/2023;27,127;17%;Baik
Jan-23;BC174;121400;87;5026,8;21600;108;8026;;195;13052,8;200;26/1/2023;78,2;39%;Baik
Jan-23;BC190;106500;35;3682,6;75100;39;23895;;74;27577,6;100;25/1/2023;21,95;22%;Baik
Jan-23;BC191;319600;330;16471,9;109300;155;45871;;485;62342,9;250;6/1/2023;78,205;31%;Baik
Jan-23;BC193;90500;68;4080,6;38500;62;14746;;130;18826,6;100;26/1/2023;31,259;31%;Baik
Jan-23;BC200;0;0;0;164000;1;10421;;1;10421;250;27/1/2023;65,733;26%;Baik
Jan-23;BC202;48200;21;2876,9;45200;27;12504;;48;15380,9;100;26/1/2023;30,827;31%;Baik
Jan-23;BC203;10500;10;578,1;17200;110;16915;;120;17493,1;100;26/1/2023;31,735;32%;Baik
Jan-23;BC215;461200;446;30202;91050;266;56172;;712;86374;160;6/1/2023;125,794;79%;Cukup
Jan-23;BC221;144300;41;4380,9;269400;62;61185;;103;65565,9;200;6/1/2023;74,573;37%;Baik
Jan-23;BC222;127300;28;5569,1;122200;32;23161;;60;28730,1;100;6/1/2023;50,551;51%;Baik
Jan-23;BC224;412600;273;16713,7;231050;128;49954;;401;66667,7;200;24/1/2023;91,656;46%;Baik
Jan-23;BC226;38200;7;2108,5;343300;31;37946;;38;40054,5;100;27/1/2023;65,149;65%;Cukup
Jan-23;BC232;172300;165;9374,6;48700;157;35864;;322;45238,6;160;6/1/2023;25,789;16%;Baik
